Actual v1/v2,Predicted v1/v2
10.0,17.630903
5.0,6.204214
3.33333,3.5931673
2.5,2.6066728
2.0,2.3365808
1.66667,1.8420751
1.42857,1.8278794
1.25,1.6250665
1.11111,1.4982729
1.0,1.4688249
20.0,22.607395
10.0,10.892849
6.66667,7.7976637
5.0,6.218345
4.0,4.8311505
3.33333,3.6549964
2.85714,3.3672705
2.5,2.8046978
2.22222,2.6009767
2.0,2.4210327
30.0,31.012115
15.0,16.438934
10.0,10.751887
7.5,9.615464
6.0,6.8703947
5.0,5.7108955
4.28571,5.123916
3.75,4.2660313
3.33333,4.0841537
3.0,3.3732338
40.0,39.817135
20.0,21.018929
13.3333,13.852016
10.0,11.692818
8.0,9.364201
6.66667,7.9439516
5.71429,6.386342
5.0,7.5007524
4.44444,5.4450235
4.0,4.5901923
50.0,47.653564
25.0,26.566868
16.6667,16.804674
12.5,15.134954
10.0,11.03424
8.33333,9.580886
7.14286,7.7290916
6.25,7.3571234
5.55556,5.905385
5.0,5.4626713
60.0,58.404
30.0,30.845013
20.0,21.295597
15.0,16.683783
12.0,14.126357
10.0,10.013371
8.57143,9.167016
7.5,7.25391
6.66667,7.6714115
6.0,7.1164513
70.0,66.229256
35.0,34.224777
23.3333,25.590387
17.5,19.977016
14.0,15.490158
11.6667,12.12368
10.0,10.325649
8.75,9.986744
7.77778,9.292794
7.0,8.041218
80.0,73.433
40.0,43.23586
26.6667,29.587355
20.0,21.24199
16.0,22.023134
13.3333,15.181267
11.4286,12.378161
10.0,11.793862
8.88889,10.636615
8.0,8.6388855
90.0,85.64453
45.0,52.629036
30.0,27.55577
22.5,23.525612
18.0,19.588469
15.0,16.231049
12.8571,15.359945
11.25,14.228477
10.0,12.777741
9.0,10.340712
100.0,107.98489
50.0,51.831055
33.3333,35.551533
25.0,26.46715
20.0,23.52242
16.6667,19.11173
14.2857,16.344654
12.5,14.521199
11.1111,12.754178
10.0,11.983975
110.0,111.36881
55.0,52.238815
36.6667,35.052376
27.5,29.976002
22.0,23.399134
18.3333,20.234179
15.7143,18.283932
13.75,16.606215
12.2222,14.025481
11.0,10.936354
10.0,10.79393
9.16667,9.963484
8.46154,9.53015
7.85714,9.175557
7.33333,8.424119
6.875,7.3945694
6.47059,7.351921
6.11111,6.976371
5.78947,6.7694416
5.5,6.121767
120.0,125.44133
60.0,66.928505
40.0,40.56075
30.0,29.810074
24.0,26.717722
20.0,21.154268
17.1429,19.78301
15.0,17.379116
13.3333,14.461564
12.0,14.05143
10.9091,11.816434
10.0,10.515907
9.23077,9.390442
8.57143,9.487781
8.0,9.596702
7.5,8.385353
7.05882,7.8795223
6.66667,8.284014
6.31579,6.8419647
6.0,7.078415
130.0,133.47023
65.0,67.690796
43.3333,45.62276
32.5,35.042023
26.0,26.38259
21.6667,23.909584
18.5714,20.978916
16.25,17.620506
14.4444,16.265505
13.0,16.358438
11.8182,12.977322
10.8333,11.98883
10.0,13.195273
9.28571,10.210131
8.66667,9.407445
8.125,9.383738
7.64706,8.591634
7.22222,8.583919
6.84211,8.083134
6.5,7.9313736
140.0,142.865
70.0,78.08332
46.6667,43.86925
35.0,37.95822
28.0,30.303423
23.3333,26.771091
20.0,23.6399
17.5,20.532562
15.5556,17.067263
14.0,14.200075
12.7273,13.801675
11.6667,12.645061
10.7692,12.106615
10.0,11.626268
9.33333,10.277073
8.75,9.026492
8.23529,9.032813
7.77778,8.712365
7.36842,8.835496
7.0,8.782791
150.0,135.91153
75.0,79.697876
50.0,60.768116
37.5,39.95289
30.0,33.806767
25.0,28.6845
21.4286,24.009687
18.75,21.135597
